date	venue	city	state	band
6/4/2002	SPAC	Saratoga, NY	NY	"Saves the Day,
Green Day,
Blink 182"
7/1/2005	SPAC	Saratoga, NY	NY	Dave Matthews Band
6/16/2006	SPAC	Saratoga, NY	NY	Dave Matthews Band
8/9/2006	Plaza	Albany, NY	NY	Fastball
8/21/2006	The JACC	Notre Dame, IN	IN	"Common,
Third Eye Blind"
9/2/2006	Legends of Notre Dame	Notre Dame, IN	IN	Rooney
11/4/2006	Morris Performing Arts Center	South Bend, IN	IN	Chicago
11/11/2006	Stepan Center	Notre Dame, IN	IN	Ben Folds
3/30/2007	Metro	Chicago, IL	IL	"The Feeling,
Rocco De Luca,
Mat Kearney"
3/31/2007	Legends of Notre Dame	Notre Dame, IN	IN	The Hush Sound
4/6/2007	The Murat Theatre at Old National Centre	Indianapolis, IN	IN	Umphrey's McGee
6/21/2007	Albany Waterfront Park	Albany, NY	NY	Asia
7/24/2007	SPAC	Saratoga, NY	NY	"Colbie Caillat,
Lifehouse,
Goo Goo Dolls"
6/19/2008	Albany Riverfront Park	Albany, NY	NY	Herman's Hermits
7/3/2008	SPAC	Saratoga, NY	NY	"Doobie Brothers,
Chicago"
8/12/2008	SPAC	Saratoga, NY	NY	"Sara Bareilles,
Maroon 5,
Counting Crows"
5/14/2009	Times Union Arena	Albany, NY	NY	Bruce Springsteen
7/9/2009	Albany Waterfront Park	Albany, NY	NY	"Kevin McKrell & The Hard Road Ceili Ban,
Black 47"
1/29/2010	Legends of Notre Dame	Notre Dame, IN	IN	The Antlers
3/20/2010	Legends of Notre Dame	Notre Dame, IN	IN	Sister Hazel
4/10/2010	Stepan Center	Notre Dame, IN	IN	"Mike Posner,
The Roots"
6/4/2010	SPAC	Saratoga, NY	NY	Dave Matthews Band
6/5/2010	SPAC	Saratoga, NY	NY	Dave Matthews Band
5/6/2011	Mt. Vernon Park	Baltimore, MD	MD	"Goldspot,
Can't Hang"
5/11/2011	Kraushaar Auditorium (Goucher College)	Baltimore, MD	MD	"Gaye Adegbalola,
Lea Gilmore,
Tom Hall,
Walt Michael, 
Dave Nachmanoff,
Sparky & Rhonda Rucker,
Joyce Scott,
Umoja Gaelica
"
6/9/2011	Bonnaroo	Manchester, TN	TN	"Matt+Kim,
The Decemberists,
My Morning Jacket,
Arcade Fire,
Lil Wayne"
6/10/2011	Bonnaroo	Manchester, TN	TN	"Old Crow Medicine Show,
Mumford and Sons,
The Black Keys,
Buffalo Springfield,
Eminem,
Girl Talk"
6/11/2011	Bonnaroo	Manchester, TN	TN	"Smith Westerns,
Robyn,
The Strokes,
Widespread Panic"
7/16/2011	Yankee Stadium	New York City, NY	NY	Paul McCartney
8/21/2011	Ed Sullivan Theater	New York City, NY	NY	Wilco
8/24/2011	Life is Good Festival	Canton, MA	MA	"Tristan Prettyman
Martin Sexton
The Hold Steady
Michael Franti & Spearhead
Ingid Michaelson
The Avett Brothers"
11/11/2011	Lincoln Hall	Chicago, IL	IL	"Nikki Lane,
Noah and the Whale"
12/6/2011	The Second City That Never Sleeps: Letters to Santa (Second City Theater)	Chicago, IL	IL	"Nina Nastasia,
Jeff Tweedy,
The Mountain Goats"
12/10/2011	Orpheum Theatre	Madison, WI	WI	"Lianne La Havas,
Bon Iver"
1/28/2012	The Sett at University of Wisconsin	Madison, WI	WI	"Parenthetical Girls,
Los Campesinos!"
2/6/2012	Athenaeum Theatre	Chicago, IL	IL	"The Music Tapes,
Jeff Mangum"
2/7/2012	The Empty Bottle	Chicago, IL	IL	"Mount Moriah,
Craig Finn"
2/18/2012	Vic Theatre	Chicago, IL	IL	Dr. Dog
3/28/2012	Lincoln Hall	Chicago, IL	IL	Fanfarlo
