date	venue	city	band
8/2/2013	Lollapalooza, Grant Park	Chicago, IL	"The National,
The Lumineers,
Mumford & Sons"
8/3/2013	Lollapalooza, Grant Park	Chicago, IL	"Mowgli,
Tegan & Sara,
2 Door Cinema Club,
The Vaccines,
Vampire Weekend,
The Cure"
9/9/2013	Aragon Ballroom	Chicago, IL	Alt-J
9/15/2013	Orpheum Theatre	Madison, WI	"White Rabbit,
The National"
9/30/2013	The Hideout	Chicago, IL	San Fermin
10/9/2013	House of Blues	Chicago, IL	Noah and the Whale
10/21/2013	Vic Theatre	Chicago, IL	Janelle Monae
11/22/2013	UIC Pavilion	Chicago, IL	The Avett Brothers
2/3/2014	Rickshaw Stop	San Francisco, CA	"Melodics,
Johnny Flynn"
2/8/2014	The Starry Plough Pub	Berkeley, CA	Peggy Sue
3/3/2014	Great American Music Hall	San Francisco, CA	Angel Olson
3/4/2014	The Chapel	San Francisco, CA	San Fermin
4/11/2014	Coachella	Indio, CA	"MS MR, 
Jagwar Ma, 
HAIM, 
Neko Case, 
Ellie Goulding, 
Broken Bells, 
Flume, 
Outkast"
4/12/2014	Coachella	Indio, CA	"Cage the Elephant, CHVRCHES, Julian Casablancas, Washed Out, Future Islands, Sleigh Bells, 
Muse"
4/13/2014	Coachella	Indio, CA	"Surfer Blood, Poolside, 
Chance the Rapper"
4/27/2014	The Greek	Berkeley, CA	The National
6/13/2014	Bonnaroo	Manchester, TN	"St. Paul & The Broken Bones, 
Sam Smith, 
Danny Brown, 
Janelle Monae, 
CHVRCHES, 
Neutral Milk Hotel, 
Phoenix, 
Speedy Ortiz, 
Disclosure, 
Chance the Rapper"
6/14/2014	Bonnaroo	Manchester, TN	"Tedeschi Trucks Band, 
Drive By Truckers, 
Damon Albarn, 
Grouplove, 
Chromeo, 
Cut Copy, 
Jack White, 
The Flaming Lips "
6/15/2014	Bonnaroo	Manchester, TN	"Fitz & The Tantrums, 
Arctic Monkeys, 
Avett Brothers, 
Elton John"
7/25/2014	Newport Folk Festival	Newport, RI	"Jenny Lewis, 
Band of Horses, 
Ryan Adams"
7/26/2014	Newport Folk Festival	Newport, RI	"The Oh Hellos, 
Milk Carton Kids, 
Shovels & Rope, 
Kurt Vile, 
Jack White"
7/27/2014	Newport Folk Festival	Newport, RI	"Berklee Gospel Choir, 
The Deslondes, 
Caitlin Rose, 
Dawes, 
Hurray for the Riff Raff, 
Conor Oberst, 
Jeff Tweedy, 
Mavis Staples"
8/1/2014	Ommegang Brewery	Cooperstown, NY	"The Baseball Project,
Dawes,
The Baseball Project"
8/23/2014	The Greek	Berkeley, CA	Dave Matthews Band
10/8/2014	Fox Theatre	Oakland, CA	Lily Allen
12/30/2014	Music Hall of Williamsburg	Brooklyn, NY	The Hold Steady
2/13/2015	Bowery Ballroom	New York, NY	The Hold Steady
3/24/2015	Silent Barn	Brooklyn, NY	"Trace Mountain,
Nice Try,
Radiator Hospital"
4/6/2015	Beacon Theatre	New York, NY	The Decemberists
4/23/2015	Music Hall of Williamsburg	Brooklyn, NY	"White Hinterland,
San Fermin"
5/11/2015	Kings Theatre	Brooklyn, NY	Passion Pit
5/13/2015	Thomas Fekete Benefit, Bowery Ballroom	New York, NY	"Cults, 
We Are Scientists, 
Marnie Stern & the Figs,
Julianna Barwick, 
The Pains of Being Pure at Heart, 
POP ETC, 
Andy Boay,
Surfer Blood"
5/20/2015	Capitol Theatre	Port Chester, NY	"Craig Finn,
Jason Isbell"
5/20/2015	Terminal 5	New York, NY	TV on the Radio
6/2/2015	Terminal 5	New York, NY	Purity Ring
6/10/2015	Radio City Music Hall	New York, NY	Belle & Sebastian
6/14/2015	Northside Festival	Brooklyn, NY	"Sleigh Bells,
Run the Jewels"
6/16/2015	Kings Theatre	Brooklyn, NY	Spoon
7/2/2015	Madison Square Garden	New York, NY	Billy Joel
7/17/2015	Pitchfork, Union Park	Chicago, IL	"Natalie Prass,
Ilovemakonnen,
Mac Demarco,
Tobias Jesso Jr.,
Chvrches,
Wilco"
7/18/2015	Pitchfork, Union Park	Chicago, IL	"Kurt Vile,
The New Pornographers,
Shamir,
Future Islands,
Sleater-Kinney"
7/19/2015	Pitchfork, Union Park	Chicago, IL	"Waxahatchee,
Courtney Barnett,
Run the Jewels,
Chance the Rapper"
7/24/2015	Newport Folk Festival	Newport, RI	"Angel Olsen,
The Lone Bellow,
The Tallest Man on Earth,
Roger Waters"
7/25/2015	Newport Folk Festival	Newport, RI	"Luluc,
Madisen Ward & the Mama Bear,
Langhorne Slim & the Law,
Courtney Barnett,
Sufjan Stevens,
The Decemberists"
7/26/2015	Newport Folk Festival	Newport, RI	"Brian Fallon,
Blake Mills,
J Mascis,
The Felice Brothers,
Laura Marling,
Lord Huron,
First Aid Kit,
65 Revisited"			
